symptoms,disease,medicine,alterrnate_medicine,home_remedies,supportive_message,emergency
"swelling, burning, difficulty eating",Tongue Pain,Iron,Yashtimadhu,Good oral hygiene,Most tongue pain resolves with proper oral care and avoiding irritants,No
"pale skin, rapid pulse, dizziness, cold skin",Severe Bleeding,Vitamin K,Durva,Apply direct pressure,Apply firm pressure to bleeding area and call emergency immediately,Yes
"difficulty gripping, stiffness, numbness, finger ache",Finger Pain,Topical Gels,Yograj Guggulu,Finger exercises,Keep fingers active with gentle exercises to maintain mobility,No
"infrequent bowel movements, abdominal pain",Constipation,Docusate,Isabgol,Drink warm water with lemon,Increase fiber intake and fluid consumption for regular bowel movements,No
"fatigue, cramps",Muscle Pain,Muscle Relaxants,Mahanarayana Oil,Gentle massage,Most muscle pain resolves with rest and gentle stretching,No
"throat irritation, non-productive cough, chest discomfort, tickling sensation",Dry Cough,Throat Lozenges,Kantakari,Throat lozenges,Stay hydrated and use humidifier to soothe throat,No
"pain, minor blisters, redness",Minor Burns,Burn Gel,Coconut Oil,Pain relief,"Cool water immediately, keep burn clean and protected",No
"limited movement, instability, knee ache, clicking sound, swelling",Knee Pain,Diclofenac,Maharasnadi Kwath,Elevation,Maintain healthy weight and do regular low-impact exercises for knee health,No
"hearing difficulty, ringing, ear ache",Ear Pain,Paracetamol,Sarshapa Taila,Warm compress,Most ear pain resolves with proper treatment and care,No
"weight loss, early satiety, food aversion, nausea, not feeling hungry",Loss of Appetite,Probiotics,Chitrak,Light exercise,Eat small frequent meals and include favorite foods to stimulate appetite,No
"fungal infection, splitting, ingrown nails",Nail Problems,Nail Hardeners,Neem,Proper trimming,Maintain good nail hygiene and avoid trauma to nails,No
"difficulty breathing, swelling, charred skin, severe pain, shock",Severe Burns,Silver Sulfadiazine,Kumari,Cover with clean cloth,Severe burns need immediate medical attention to prevent complications,Yes
"mouth odor, gum problems",Bad Breath,Antibacterial Mouthwash,Cardamom,Avoid strong foods,Good oral hygiene and regular dental checkups prevent bad breath,No
"nausea, stomach discomfort, fullness, loss of appetite",Indigestion,Antacids,Hingwashtak Churna,Small frequent meals,Eat slowly and avoid overeating to prevent indigestion,No
"morning headaches, daytime fatigue, disturbed sleep",Snoring,Surgery,Eucalyptus Oil,Sleep on side,Weight loss and sleeping position changes often reduce snoring,No
"receding hairline, itchy scalp, bald patches",Hair Loss,Multivitamins,Bhringraj,Egg masks,Early treatment gives better results for hair loss,No
"unconsciousness, muscle pain, irregular heartbeat",Electrocution,Tetanus Shot,Brahmi,Check breathing and pulse,Turn off power source before helping and seek immediate medical attention,Yes
"chills, high body temperature",Fever,Ibuprofen,Chirayata,Light diet,Monitor temperature and seek medical help if fever persists beyond 3 days,No
"bloating, fullness, belching",Indigestion,Simethicone,Pudina,Small frequent meals,Eat slowly and avoid overeating to prevent indigestion,No
"peeling, fever",Sunburn,Cool Compresses,Turmeric,Avoid further sun,Prevent sunburn with sunscreen and protective clothing,No
"wheezing, sweating, chest tightness, inability to speak, extreme difficulty breathing",Severe Asthma Attack,Salbutamol,Bharangyadi Kwath,Use rescue inhaler immediately,Severe asthma attack can be life-threatening - seek immediate medical help,Yes
"excessive thirst, blurred vision",Diabetes Type 2,Metformin,Gudmar,Monitor blood sugar,Diabetes can be well managed with proper medication and lifestyle changes,No
"shoulder ache, limited movement, weakness",Shoulder Pain,Muscle Relaxants,Rasna,Ice therapy,Shoulder pain improves with rest and gradual rehabilitation exercises,No
"mood changes, difficulty falling asleep, frequent awakening",Insomnia,Melatonin,Tagara,Cool dark room,Good sleep hygiene and relaxation techniques improve sleep quality,No
"severe headache, fever, stiff neck",Meningitis,Mannitol,Mandukaparni,Monitor symptoms,Meningitis is a medical emergency requiring immediate hospital treatment,Yes
"widespread rash, dizziness, rapid pulse, difficulty breathing",Severe Allergic Reaction,Cetirizine,Neem,Keep airway clear,Anaphylaxis is life-threatening - immediate medical intervention required,Yes
"difficulty speaking, chest tightness",Asthma,Prednisolone,Bharangi,Avoid triggers,Always carry rescue inhaler and identify your asthma triggers,No
"toothache, sensitivity, pain while chewing, throbbing pain, swelling",Tooth Pain,Antiseptic Mouthwash,Akarkara,Salt water rinse,See dentist promptly for proper diagnosis and treatment,No
"loss of consciousness, inability to breathe",Choking,Emergency Airway Management,Immediate physical intervention required,Heimlich maneuver,Perform Heimlich maneuver immediately and call emergency services,Yes
"excessive shedding, receding hairline, thinning hair",Hair Loss,Minoxidil,Fenugreek,Scalp massage,Early treatment gives better results for hair loss,No
"excessive shedding, thinning hair",Hair Loss,Minoxidil,Coconut Oil,Onion juice,Early treatment gives better results for hair loss,No
"poor circulation, blue fingers",Cold Hands,Warming Devices,Black Pepper,Massage hands,Keep hands warm and improve circulation with exercise,No
"sore throat, body aches, low fever",Common Cold,Cetirizine,Giloy,Gargle with salt water,Common cold usually resolves in 7-10 days with proper rest,No
"postnasal drip, congestion, nasal discharge",Runny Nose,Loratadine,Trikatu,Saline nasal rinse,Keep nasal passages moist and avoid irritants,No
"numbness, poor circulation",Cold Feet,Circulation Medications,Black Pepper,Exercise,"Keep feet warm and dry, improve circulation with movement",No
"unconsciousness, collapse, blue skin, no pulse",Cardiac Arrest,Amiodarone,Hridayarnava Ras,Start CPR immediately,Cardiac arrest requires immediate CPR and emergency medical care,Yes
"swelling, itchy skin",Skin Allergy,Cetirizine,Manjistha,Avoid allergens,"Identify and avoid triggers, keep skin moisturized",No
"pale stools, dark urine, confusion, fatigue",Liver Failure,Albumin,Punarnava,Light diet,Liver failure is life-threatening and requires emergency hospitalization,Yes
"scratchy feeling, throat pain, difficulty swallowing, swollen glands",Sore Throat,Ibuprofen,Yashtimadhu,Salt water gargle,Most sore throats are viral and resolve with symptomatic treatment,No
"throat clearing, pitch changes, voice loss",Voice Problems,Steam Inhalation,Yashtimadhu,Steam inhalation,Rest your voice and stay hydrated for vocal cord healing,No
"tenderness, muscle soreness",Muscle Pain,Ibuprofen,Mahanarayana Oil,Hot compress,Most muscle pain resolves with rest and gentle stretching,No
"collapse, unconsciousness, blue skin",Cardiac Arrest,Dopamine,Saraswatarishta,Start CPR immediately,Cardiac arrest requires immediate CPR and emergency medical care,Yes
"charred skin, blisters, swelling, severe pain, shock",Severe Burns,Antibiotics,Manjistha,Cool water immediately,Severe burns need immediate medical attention to prevent complications,Yes
"pain, risk of infection, embedded object, swelling",Splinters,Pain Relief,Honey,Remove carefully,Remove splinter completely and watch for signs of infection,No
"watery eyes, frequent sneezing, congestion",Sneezing,Montelukast,Ela,Saline rinse,Identify and avoid triggers that cause sneezing,No
"pain while chewing, toothache, swelling",Tooth Pain,Topical Anesthetics,Trikatu,Cold compress,See dentist promptly for proper diagnosis and treatment,No
"fungal infection, discoloration",Nail Problems,Nail Hardeners,Neem,Avoid biting,Maintain good nail hygiene and avoid trauma to nails,No
"difficulty concentrating, fatigue, insomnia, digestive issues",Jet Lag,Sleep Aids,Ashwagandha,Stay hydrated,Gradually adjust to new time zone and get sunlight exposure,No
"panic, inability to speak, chest tightness",Severe Asthma Attack,Montelukast,Bharangyadi Kwath,Call emergency,Severe asthma attack can be life-threatening - seek immediate medical help,Yes
"runny nose, congestion, nasal irritation",Sneezing,Montelukast,Haridra,Steam inhalation,Identify and avoid triggers that cause sneezing,No
"swelling, redness",Gum Pain,Antibiotics,Triphala,Salt water rinse,Good oral hygiene prevents most gum problems,No
"concentration problems, irritability, mood changes, daytime fatigue",Insomnia,Eszopiclone,Shankhpushpi,Avoid caffeine,Good sleep hygiene and relaxation techniques improve sleep quality,No
"poor circulation, tingling",Cold Feet,Exercise,Black Pepper,Warm water soak,"Keep feet warm and dry, improve circulation with movement",No
"risk of infection, open wound, bleeding",Minor Cuts,Antibiotic Ointment,Neem,Clean wound,"Keep wound clean and dry, change dressing regularly",No
"difficulty walking, toe ache",Toe Pain,Antifungal Creams,Turmeric,Foot hygiene,Proper foot care and well-fitting shoes prevent most toe problems,No
"white flakes, irritation, flaky scalp, dry scalp",Dandruff,Selenium Sulfide,Neem Oil,Coconut oil massage,Use medicated shampoos regularly and manage stress levels,No
"tingling, weakness, swelling",Wrist Pain,Topical Gels,Sahacharadi Oil,Ergonomic adjustments,Wrist pain often results from repetitive use - take regular breaks,No
"sensitivity to light, stiff neck, fever, severe headache",Meningitis,Vancomycin,Mandukaparni,Monitor symptoms,Meningitis is a medical emergency requiring immediate hospital treatment,Yes
"difficulty walking, redness, toe ache, swelling, nail problems",Toe Pain,Paracetamol,Manjistha,Toe exercises,Proper foot care and well-fitting shoes prevent most toe problems,No
"neck stiffness, headache",Neck Pain,Muscle Relaxants,Vishgarbha Oil,Hot compress,Maintain good posture and use ergonomic workstation setup,No
"ankle ache, tenderness, stiffness, difficulty walking, swelling",Ankle Pain,Ice Packs,Vishgarbha Oil,Proper footwear,Most ankle injuries heal with rest and appropriate care,No
"stiffness, blue fingers, numbness, poor circulation",Cold Hands,Massage,Ginger,Warm water,Keep hands warm and improve circulation with exercise,No
"discoloration, ingrown nails, splitting",Nail Problems,Nail Hardeners,Tea Tree Oil,Moisturize cuticles,Maintain good nail hygiene and avoid trauma to nails,No
"incomplete evacuation, infrequent bowel movements, discomfort, hard stools, straining",Constipation,Bisacodyl,Triphala,Drink warm water with lemon,Increase fiber intake and fluid consumption for regular bowel movements,No
"unpleasant smell, underarm odor, foot odor",Body Odor,Antiperspirants,Sandalwood,Clean clothes,Good personal hygiene and appropriate products control body odor,No
"high body temperature, muscle aches, dehydration, sweating, loss of appetite",Fever,Paracetamol,Chirayata,Sponge with lukewarm water,Monitor temperature and seek medical help if fever persists beyond 3 days,No
"difficulty swallowing, scratchy feeling, hoarse voice, throat pain",Sore Throat,Antibiotics if bacterial,Mulethi,Salt water gargle,Most sore throats are viral and resolve with symptomatic treatment,No
"vomiting, loss of appetite",Gastritis,Sucralfate,Shatavari,Avoid spicy food,"Avoid alcohol and NSAIDs, eat bland food during acute phase",No
"tenderness, swelling, gum ache, bad breath",Gum Pain,Antibiotics,Khadira,Flossing,Good oral hygiene prevents most gum problems,No
"nausea, weakness, unconsciousness, fruity breath, confusion",Diabetic Emergency,Acarbose,Methi,Check blood sugar,Diabetic emergency requires immediate hospital care,Yes
"seizures, unconsciousness, confusion",Poisoning,Pralidoxime,Haridra,Call poison control,Contact poison control center immediately - time is critical,Yes
"no urination, dizziness, confusion, extreme thirst, rapid heartbeat",Severe Dehydration,Electrolyte Solutions,ORS,Seek immediate medical care,Severe dehydration requires immediate IV fluid replacement,Yes
"mood changes, digestive issues, fatigue, difficulty concentrating, insomnia",Jet Lag,Adjustment Pills,Brahmi,Avoid alcohol,Gradually adjust to new time zone and get sunlight exposure,No
"neck stiffness, muscle spasms, pain turning head",Neck Pain,Paracetamol,Mahanarayana Oil,Proper pillow,Maintain good posture and use ergonomic workstation setup,No
"daytime fatigue, loud breathing during sleep",Snoring,CPAP,Eucalyptus Oil,Nasal strips,Weight loss and sleeping position changes often reduce snoring,No
"muscle pain, burning, tightness, chest discomfort, pain with breathing",Chest Pain,Muscle Relaxants,Brahmi,Rest,Non-cardiac chest pain usually responds to rest and pain relief,No
"early waking, fatigue, daytime sleepiness, difficulty falling asleep, frequent waking",Sleep Problems,Zolpidem,Brahmi,Regular sleep schedule,Good sleep hygiene and consistent bedtime routine improve sleep quality,No
"rapid breathing, difficulty breathing, chest tightness",Breathing Problems,Bronchodilators,Talisadi Churna,Steam inhalation,"Identify and avoid breathing triggers, keep rescue medications handy",No
"scaling, cracks",Dry Skin,Ceramides,Til Taila,Moisturize daily,Keep skin moisturized and avoid harsh products,No
"leg ache, weakness, stiffness, swelling",Leg Pain,Topical Gels,Nirgundi,Warm compress,Regular exercise and proper posture help prevent leg pain,No
"vomiting, unconsciousness, difficulty breathing",Poisoning,Atropine,Guduchi,Identify poison,Contact poison control center immediately - time is critical,Yes
"abdominal cramps, bloating, frequent bowel movements, urgency, loose stools",Diarrhea,Racecadotril,Dadimashtak Churna,Rice water,Stay hydrated and seek medical help if diarrhea persists beyond 3 days,No
"foot ache, swelling, toe pain, heel pain, arch pain",Foot Pain,Foot Pads,Rasna,Foot exercises,Proper footwear and foot care prevent most foot problems,No
"cramping, tenderness, nausea, bloating, discomfort",Stomach Pain,Antispasmodics,Hing,Warm compress,Most stomach pain improves with rest and dietary modifications,No
"chest burning, bloating, nausea, indigestion, belching",Acidity,Omeprazole,Praval Pishti,Drink cold milk,Lifestyle changes and proper diet can effectively manage acidity,No
"red skin, blisters, swelling, pain",Sunburn,Cool Compresses,Coconut Oil,Cool baths,Prevent sunburn with sunscreen and protective clothing,No
"morning headaches, disturbed sleep, daytime fatigue, loud breathing during sleep",Snoring,Decongestants,Cardamom,Sleep on side,Weight loss and sleeping position changes often reduce snoring,No
"depression, fatigue, slow wound healing, frequent infections",Vitamin D Deficiency,Vitamin D3,Praval Pishti,Exercise,Regular sunlight exposure and vitamin D supplements help,No
"instability, swelling, clicking sound",Knee Pain,Diclofenac,Nirgundi,Gentle exercise,Maintain healthy weight and do regular low-impact exercises for knee health,No
"stiffness, weakness, tingling",Arm Pain,Topical Analgesics,Vishgarbha Oil,Ice therapy,Most arm pain resolves with rest and appropriate treatment,No
"tightness, muscle pain, pain with breathing",Chest Pain,Paracetamol,Arjuna,Deep breathing,Non-cardiac chest pain usually responds to rest and pain relief,No
"bloating, straining, discomfort",Constipation,Polyethylene Glycol,Castor Oil,Regular exercise,Increase fiber intake and fluid consumption for regular bowel movements,No
"weakness, limited movement",Shoulder Pain,Muscle Relaxants,Sahacharadi Oil,Gentle exercises,Shoulder pain improves with rest and gradual rehabilitation exercises,No
"shock, swelling, severe pain",Severe Burns,Silver Sulfadiazine,Haridra,Call emergency,Severe burns need immediate medical attention to prevent complications,Yes
"limited movement, weakness, shoulder ache, stiffness",Shoulder Pain,Ibuprofen,Mahanarayana Oil,Ice therapy,Shoulder pain improves with rest and gradual rehabilitation exercises,No
"swelling of face, loss of consciousness, widespread rash, rapid pulse, difficulty breathing",Severe Allergic Reaction,Adrenaline,Tulsi,Use EpiPen if available,Anaphylaxis is life-threatening - immediate medical intervention required,Yes
"swelling, dryness, cracking",Lip Pain,Antiviral Cream,Honey,Lip balm,Keep lips moisturized and protected from environmental factors,No
"ankle ache, swelling, difficulty walking",Ankle Pain,Topical Gels,Mahanarayana Oil,Ankle exercises,Most ankle injuries heal with rest and appropriate care,No
"vomiting, unconsciousness, nausea",Diabetic Emergency,Insulin,Karela,Check blood sugar,Diabetic emergency requires immediate hospital care,Yes
"unpleasant smell, underarm odor, excessive sweating, foot odor",Body Odor,Deodorants,Turmeric,Daily bathing,Good personal hygiene and appropriate products control body odor,No
"swelling, severe pain, charred skin",Severe Burns,Tetanus Injection,Jatyadi Ghrita,Cool water immediately,Severe burns need immediate medical attention to prevent complications,Yes
"ulcers, bad taste, mouth soreness, burning, difficulty eating",Mouth Pain,Vitamin B12,Amalaki,Salt water rinse,Maintain good oral hygiene and avoid irritating foods,No
"charred skin, shock, swelling, blisters, severe pain",Severe Burns,Silver Sulfadiazine,Manjistha,Remove from heat source,Severe burns need immediate medical attention to prevent complications,Yes
"sensitivity to sound, severe headache, visual disturbances",Migraine,Amitriptyline,Shirashuladyavati,Stay hydrated,"Identify and avoid migraine triggers, maintain regular sleep schedule",No
"constipation, severe abdominal pain, vomiting, nausea",Appendicitis,Ondansetron,Ajwain,Call emergency,Appendicitis requires immediate surgery - do not delay treatment,Yes
"mouth odor, gum problems, bad taste, white tongue coating",Bad Breath,Probiotics,Triphala,Avoid strong foods,Good oral hygiene and regular dental checkups prevent bad breath,No
"difficulty eating, hiccup sounds, chest discomfort",Hiccups,Haloperidol,Ajwain,Breathe into paper bag,Most hiccups stop on their own within minutes to hours,No
"pain radiating to legs, muscle spasms, stiffness, difficulty moving, lower back pain",Back Pain,Diclofenac,Yograj Guggulu,Rest,Most back pain improves with rest and physiotherapy,No
"dizziness, confusion, extreme thirst",Severe Dehydration,Electrolyte Solutions,Immediate medical care needed,Call emergency,Severe dehydration requires immediate IV fluid replacement,Yes
"congestion, nasal irritation",Sneezing,Montelukast,Tulsi,Avoid allergens,Identify and avoid triggers that cause sneezing,No
"weakness, arm ache",Arm Pain,Physiotherapy,Vishgarbha Oil,Avoid repetitive movements,Most arm pain resolves with rest and appropriate treatment,No
"bad taste, white tongue coating, gum problems, dry mouth",Bad Breath,Artificial Saliva,Cardamom,Stay hydrated,Good oral hygiene and regular dental checkups prevent bad breath,No
"risk of infection, pain",Splinters,Antibiotics,Tea Tree Oil,Sterilize tweezers,Remove splinter completely and watch for signs of infection,No
"swelling, bumps, itching, burning, red patches",Skin Rash,Moisturizers,Neem,Oatmeal bath,"Keep skin clean and moisturized, identify and avoid triggers",No
"unconsciousness, confusion, difficulty breathing",Poisoning,Flumazenil,Tulsi,Call poison control,Contact poison control center immediately - time is critical,Yes
"tingling, leg ache, swelling, cramps, weakness",Leg Pain,Topical Gels,Yograj Guggulu,Gentle exercise,Regular exercise and proper posture help prevent leg pain,No
"postnasal drip, sneezing, congestion, nasal discharge",Runny Nose,Nasal Decongestants,Ela,Rest,Keep nasal passages moist and avoid irritants,No
"dark urine, swelling, jaundice, confusion",Liver Failure,Diuretics,Punarnava,Avoid alcohol,Liver failure is life-threatening and requires emergency hospitalization,Yes
"fatigue, nausea",Kidney Failure,Phosphate Binders,Gokshura,Call emergency,Kidney failure requires immediate medical intervention and dialysis,Yes
"limited movement, shoulder ache, stiffness",Shoulder Pain,Topical Gels,Sahacharadi Oil,Support with sling,Shoulder pain improves with rest and gradual rehabilitation exercises,No
"dry scalp, itching, irritation, white flakes",Dandruff,Ketoconazole Shampoo,Tea Tree Oil,Avoid harsh products,Use medicated shampoos regularly and manage stress levels,No
"throat irritation, chest discomfort, non-productive cough, tickling sensation",Dry Cough,Codeine,Mulethi,Humidifier,Stay hydrated and use humidifier to soothe throat,No
"collapse, blue skin, no pulse, no breathing, unconsciousness",Cardiac Arrest,Lidocaine,Arjuna,Call emergency,Cardiac arrest requires immediate CPR and emergency medical care,Yes
"dizziness, widespread rash, vomiting, loss of consciousness, swelling of face",Severe Allergic Reaction,Adrenaline,Neem,Remove allergen,Anaphylaxis is life-threatening - immediate medical intervention required,Yes
"high body temperature, muscle aches, chills",Fever,Paracetamol,Sudarshan Churna,Sponge with lukewarm water,Monitor temperature and seek medical help if fever persists beyond 3 days,No
"inability to speak, panic, wheezing, chest tightness, sweating",Severe Asthma Attack,Montelukast,Bharangyadi Kwath,Call emergency,Severe asthma attack can be life-threatening - seek immediate medical help,Yes
"confusion, nausea, severe headache, stiff neck, sensitivity to light",Meningitis,Ceftriaxone,Medhya Rasayan,Call emergency immediately,Meningitis is a medical emergency requiring immediate hospital treatment,Yes
"muscle aches, headache",Fever,Nimesulide,Tulsi,Drink plenty of fluids,Monitor temperature and seek medical help if fever persists beyond 3 days,No
"heel pain, toe pain",Foot Pain,Ibuprofen,Vishgarbha Oil,Foot exercises,Proper footwear and foot care prevent most foot problems,No
"concentration problems, difficulty falling asleep, mood changes, irritability",Insomnia,Melatonin,Tagara,Cool dark room,Good sleep hygiene and relaxation techniques improve sleep quality,No
"pale stools, nausea, swelling",Liver Failure,Antibiotics,Kutki,Complete rest,Liver failure is life-threatening and requires emergency hospitalization,Yes
"tenderness, bloating, cramping, abdominal pain, nausea",Stomach Pain,Paracetamol,Hingwashtak Churna,Warm compress,Most stomach pain improves with rest and dietary modifications,No
"swelling, discoloration, pain, tenderness",Bruises,Arnica,Comfrey,Rest,Most bruises heal naturally within 2-3 weeks,No
"enlarged pores, greasy feeling, shiny skin",Oily Skin,Salicylic Acid,Neem,Avoid over-washing,Use oil-free products and maintain consistent skincare routine,No
"stiffness, leg ache, swelling",Leg Pain,Muscle Relaxants,Rasna,Warm compress,Regular exercise and proper posture help prevent leg pain,No
"watery eyes, red eyes, itching, burning",Eye Irritation,Steroid Drops,Aloe Vera,Avoid rubbing,"Avoid allergens and irritants, practice good eye hygiene",No
"stomach discomfort, belching",Indigestion,Domperidone,Pudina,Avoid spicy food,Eat slowly and avoid overeating to prevent indigestion,No
"lower back pain, pain radiating to legs",Back Pain,Diclofenac,Nirgundi,Avoid heavy lifting,Most back pain improves with rest and physiotherapy,No
"toothache, sensitivity, swelling, pain while chewing, throbbing pain",Tooth Pain,Ibuprofen,Yashtimadhu,Soft foods,See dentist promptly for proper diagnosis and treatment,No
"dehydration, fatigue, sweating, muscle aches, chills",Fever,Aspirin,Chirayata,Rest in cool place,Monitor temperature and seek medical help if fever persists beyond 3 days,No
"throwing up, loss of appetite, stomach pain",Vomiting,Ondansetron,Jeeraka,Rest,Replace lost fluids and seek help if vomiting persists,No
"brittle nails, discoloration",Nail Problems,Topical Treatments,Neem,Keep nails clean,Maintain good nail hygiene and avoid trauma to nails,No
"extreme thirst, confusion, dizziness",Severe Dehydration,Sodium Chloride,Coconut Water,Call emergency,Severe dehydration requires immediate IV fluid replacement,Yes
"excessive shedding, itchy scalp, bald patches",Hair Loss,Hair Transplant,Fenugreek,Avoid tight hairstyles,Early treatment gives better results for hair loss,No
"risk of infection, bleeding, pain, open wound",Minor Cuts,Bandages,Honey,Antiseptic,"Keep wound clean and dry, change dressing regularly",No
"weakness, dizziness, heavy bleeding, cold skin",Severe Bleeding,Platelets,Ashoka,Apply direct pressure,Apply firm pressure to bleeding area and call emergency immediately,Yes
"discomfort, abdominal pain, nausea, cramping",Stomach Pain,Paracetamol,Pudina,Warm compress,Most stomach pain improves with rest and dietary modifications,No
"confusion, irregular heartbeat, difficulty breathing, unconsciousness, burns",Electrocution,IV Fluids,Brahmi,Turn off power source,Turn off power source before helping and seek immediate medical attention,Yes
"stiffness, finger ache, numbness, difficulty gripping, swelling",Finger Pain,Ibuprofen,Mahanarayana Oil,Finger exercises,Keep fingers active with gentle exercises to maintain mobility,No
"mucus, throat irritation, hoarse voice, dry cough",Common Cough,Salbutamol,Tulsi,Gargle with salt water,Most coughs resolve with symptomatic treatment and adequate rest,No
"weakness, loose stools",Diarrhea,Loperamide,Dadimashtak Churna,ORS solution,Stay hydrated and seek medical help if diarrhea persists beyond 3 days,No
"nausea, stiff neck",Meningitis,Vancomycin,Brahmi,Call emergency immediately,Meningitis is a medical emergency requiring immediate hospital treatment,Yes
"tingling, stiffness, weakness, wrist ache, swelling",Wrist Pain,Topical Gels,Mahanarayana Oil,Ergonomic adjustments,Wrist pain often results from repetitive use - take regular breaks,No
"reduced mobility, swelling",Joint Pain,Hyaluronic Acid,Maharasnadi Kwath,Warm oil massage,Regular exercise and weight management help preserve joint health,No
"foot odor, unpleasant smell",Body Odor,Botox,Rose Water,Daily bathing,Good personal hygiene and appropriate products control body odor,No
"sudden weakness, severe headache",Stroke,Clopidogrel,Saraswatarishta,Note time of symptoms,Time is brain - every minute matters in stroke treatment,Yes
"sensitivity, throbbing pain, pain while chewing, swelling, toothache",Tooth Pain,Antiseptic Mouthwash,Triphala,Cold compress,See dentist promptly for proper diagnosis and treatment,No
"difficulty swallowing, hoarse voice, throat pain",Sore Throat,Antibiotics if bacterial,Yashtimadhu,Salt water gargle,Most sore throats are viral and resolve with symptomatic treatment,No
"fatigue, sensitivity to sound, severe headache",Migraine,Topiramate,Jatamansi,Cold compress,"Identify and avoid migraine triggers, maintain regular sleep schedule",No
"slow wound healing, bone pain",Vitamin D Deficiency,Calcium,Godanti Bhasma,Fish oil,Regular sunlight exposure and vitamin D supplements help,No
"inability to speak, chest tightness",Severe Asthma Attack,Salbutamol,Sitopaladi Churna,Call emergency,Severe asthma attack can be life-threatening - seek immediate medical help,Yes
"digestive issues, difficulty concentrating, fatigue, insomnia, mood changes",Jet Lag,Melatonin,Ashwagandha,Stay hydrated,Gradually adjust to new time zone and get sunlight exposure,No
"ankle ache, swelling, tenderness",Ankle Pain,Ankle Support,Nirgundi,Elevation,Most ankle injuries heal with rest and appropriate care,No
"sunken eyes, dizziness, confusion, rapid heartbeat",Severe Dehydration,Electrolyte Solutions,Immediate medical care needed,Give small sips of water,Severe dehydration requires immediate IV fluid replacement,Yes
"headache, vomiting, dizziness",Motion Sickness,Meclizine,Ginger,Avoid reading,Take motion sickness medication before traveling,No
"excessive sweating, underarm odor",Body Odor,Antiperspirants,Mint,Natural deodorizers,Good personal hygiene and appropriate products control body odor,No
"insomnia, mood changes",Jet Lag,Melatonin,Shankhpushpi,Light exposure,Gradually adjust to new time zone and get sunlight exposure,No
"infrequent bowel movements, incomplete evacuation, discomfort, hard stools",Constipation,Lactulose,Isabgol,Regular exercise,Increase fiber intake and fluid consumption for regular bowel movements,No
"difficulty breathing, rapid pulse, widespread rash, vomiting",Severe Allergic Reaction,Prednisolone,Neem,Call emergency immediately,Anaphylaxis is life-threatening - immediate medical intervention required,Yes
"joint warmth, fatigue, morning stiffness, swelling, reduced mobility",Arthritis,Naproxen,Yograj Guggulu,Hot and cold compress,Regular exercise and physiotherapy help maintain joint mobility,No
"blue lips, difficulty breathing, confusion",Drug Overdose,IV Fluids,Support breathing,Call emergency immediately,Drug overdose requires immediate emergency medical intervention,Yes
"blurred vision, frequent urination, weight loss, excessive thirst, hunger",Diabetes Type 2,Insulin,Madhumehari,Eat small frequent meals,Diabetes can be well managed with proper medication and lifestyle changes,No
"tenderness, difficulty walking, ankle ache, stiffness",Ankle Pain,Ice Packs,Eranda,RICE therapy,Most ankle injuries heal with rest and appropriate care,No
"shoulder pain, neck stiffness, headache, muscle spasms, pain turning head",Neck Pain,Diclofenac,Nirgundi,Hot compress,Maintain good posture and use ergonomic workstation setup,No
"early morning awakening, frequent awakening, mood changes",Insomnia,Trazodone,Ashwagandha,Regular sleep schedule,Good sleep hygiene and relaxation techniques improve sleep quality,No
"tenderness, gum ache",Gum Pain,Antibiotics,Yashtimadhu,Flossing,Good oral hygiene prevents most gum problems,No
"bone pain, depression, frequent infections, fatigue, slow wound healing",Vitamin D Deficiency,Alfacalcidol,Laksha,Sunlight exposure,Regular sunlight exposure and vitamin D supplements help,No
"minor blisters, redness, pain",Minor Burns,Burn Gel,Aloe Vera,Aloe vera,"Cool water immediately, keep burn clean and protected",No
"difficulty gripping, numbness, finger ache",Finger Pain,Paracetamol,Sahacharadi Oil,Finger exercises,Keep fingers active with gentle exercises to maintain mobility,No
"coughing, fatigue",Asthma,Budesonide,Bharangi,Steam inhalation,Always carry rescue inhaler and identify your asthma triggers,No
"nausea, tenderness",Stomach Pain,Probiotics,Pudina,Warm compress,Most stomach pain improves with rest and dietary modifications,No
"foot ache, arch pain, stiffness, toe pain",Foot Pain,Ibuprofen,Rasna,Proper footwear,Proper footwear and foot care prevent most foot problems,No
"frequent urination, tingling in feet",Diabetes Type 2,Sitagliptin,Gudmar,Monitor blood sugar,Diabetes can be well managed with proper medication and lifestyle changes,No
"morning headaches, disturbed sleep, daytime fatigue, loud breathing during sleep",Snoring,Nasal Strips,Eucalyptus Oil,Sleep on side,Weight loss and sleeping position changes often reduce snoring,No
"chest discomfort, hiccup sounds, difficulty eating, involuntary spasms",Hiccups,Chlorpromazine,Hing,Hold breath,Most hiccups stop on their own within minutes to hours,No
"nausea, fever, sensitivity to light, severe headache, confusion",Meningitis,Mannitol,Shankhpushpi,Keep patient calm,Meningitis is a medical emergency requiring immediate hospital treatment,Yes
"charred skin, shock",Severe Burns,Morphine,Haridra,Cover with clean cloth,Severe burns need immediate medical attention to prevent complications,Yes
"productive cough, rattling sound",Wet Cough,Expectorants,Sitopaladi Churna,Honey,Expectorants help thin mucus and make coughing more productive,No
"enlarged pores, acne, shiny skin, blackheads",Oily Skin,Oil-free Products,Sandalwood,Clay masks,Use oil-free products and maintain consistent skincare routine,No
"fatigue, swelling, muscle soreness",Muscle Pain,Paracetamol,Mahanarayana Oil,Hot compress,Most muscle pain resolves with rest and gentle stretching,No
